epoch,time,loss,lr
0,0,0.00108,0.01
25,0,0.00012,0.01
50,0,6e-05,0.01
75,0,5e-05,0.01
100,0,4e-05,0.01
125,0,4e-05,0.01
150,0,4e-05,0.01
175,0,4e-05,0.01
200,0,4e-05,0.01
225,0,4e-05,0.01
250,0,3e-05,0.01
275,0,3e-05,0.01
0,0,7e-05,0.01
25,0,2e-05,0.01
50,0,2e-05,0.01
75,0,1e-05,0.01
100,0,1e-05,0.01
125,0,1e-05,0.01
150,0,1e-05,0.01
175,0,1e-05,0.01
200,0,1e-05,0.01
225,0,1e-05,0.01
250,0,1e-05,0.01
275,0,1e-05,0.01
0,0,0.00108,0.01
25,0,0.00014,0.01
50,0,7e-05,0.01
75,0,5e-05,0.01
100,0,4e-05,0.01
125,0,4e-05,0.01
150,0,4e-05,0.01
175,0,4e-05,0.01
200,0,4e-05,0.01
225,0,3e-05,0.01
250,0,3e-05,0.01
275,0,3e-05,0.01
0,0,0.00131,0.01
25,0,0.00027,0.01
50,0,0.0001,0.01
75,0,8e-05,0.01
100,0,8e-05,0.01
125,0,8e-05,0.01
150,0,8e-05,0.01
175,0,8e-05,0.01
200,0,7e-05,0.01
225,0,7e-05,0.01
250,0,7e-05,0.01
275,0,7e-05,0.01
