epoch,time,loss,lr
0,0,0.04059,0.01
25,0,0.00914,0.01
50,0,0.0039,0.01
75,0,0.00318,0.01
100,0,0.00299,0.01
125,0,0.0029,0.01
150,0,0.00284,0.01
175,0,0.00276,0.01
200,0,0.003,0.01
225,0,0.00269,0.01
250,0,0.00266,0.01
275,0,0.0026,0.01
300,0,0.00265,0.01
0,0,0.03751,0.01
25,0,0.00863,0.01
50,0,0.00393,0.01
75,0,0.00315,0.01
100,0,0.00296,0.01
125,0,0.00291,0.01
150,0,0.00286,0.01
175,0,0.00284,0.01
200,0,0.00273,0.01
225,0,0.00264,0.01
250,0,0.00265,0.01
275,0,0.00275,0.01
300,0,0.00262,0.01
0,0,0.03795,0.01
25,0,0.0089,0.01
50,0,0.00362,0.01
75,0,0.00316,0.01
100,0,0.00308,0.01
125,0,0.00296,0.01
150,0,0.00298,0.01
175,0,0.00285,0.005
200,0,0.00274,0.005
225,0,0.00275,0.005
250,0,0.00272,0.005
275,0,0.0027,0.005
300,0,0.00269,0.005
0,0,0.03661,0.01
25,0,0.00834,0.01
50,0,0.00384,0.01
75,0,0.00316,0.01
100,0,0.00302,0.01
125,0,0.00289,0.01
150,0,0.00284,0.01
175,0,0.0029,0.01
200,0,0.00283,0.01
225,0,0.00283,0.01
250,0,0.00282,0.01
275,0,0.00274,0.01
300,0,0.00273,0.01
0,0,0.03748,0.01
25,0,0.00912,0.01
50,0,0.00404,0.01
75,0,0.00318,0.01
100,0,0.00318,0.01
125,0,0.00297,0.01
150,0,0.00295,0.01
175,0,0.00286,0.01
200,0,0.00279,0.01
225,0,0.00275,0.01
250,0,0.0027,0.01
275,0,0.00272,0.01
300,0,0.00266,0.01
